#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T19:53:00Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T19:53:10Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T19:53:30Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T19:53:40Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T19:54:00Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T19:54:10Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T19:54:30Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T19:54:40Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T19:55:00Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T19:55:10Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T19:55:30Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T19:55:40Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T19:56:00Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T19:56:10Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T19:56:30Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T19:56:40Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T19:57:00Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T19:57:10Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T19:57:30Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T19:57:40Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T19:58:00Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T19:58:20Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T19:58:30Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T19:58:50Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T19:59:00Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T19:59:20Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T19:59:30Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T19:59:50Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:00:00Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:00:20Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:00:30Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:00:50Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:01:00Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:01:20Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:01:30Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:01:50Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:02:00Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:02:20Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:02:30Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:02:50Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:03:00Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:03:20Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:03:30Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:03:50Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:04:00Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:04:20Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:04:30Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:04:50Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:05:00Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:05:20Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:05:30Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:05:50Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:06:00Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:06:20Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:06:30Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:06:50Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:07:00Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:07:20Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:07:30Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:07:50Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:08:00Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
,,0,2024-09-12T19:52:51.151817627Z,2024-09-12T20:52:51.151817627Z,2024-09-12T20:08:20Z,0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_NOK,KELABO1-----BS1---KFU1
